chamber,name,wikipedia,ID,party,state
Camara dos Deputados,Abou Anni,https://pt.wikipedia.org/wiki/Abou_Anni,Q58988358,UNIÃO,SP
Camara dos Deputados,Acácio Favacho,https://pt.wikipedia.org/wiki/Acácio_Favacho,Q59010539,MDB,AP
Senado,Acir Gurgacz,https://pt.wikipedia.org/wiki/Acir_Gurgacz,Q13491651,PDT,RO
Camara dos Deputados,Adolfo Viana,https://pt.wikipedia.org/wiki/Adolfo_Viana,Q59205095,PSDB,BA
Camara dos Deputados,Adriana Miguel Ventura,https://pt.wikipedia.org/wiki/Adriana_Ventura,Q59284364,NOVO,SP
Camara dos Deputados,Adriano Do Baldy,https://pt.wikipedia.org/wiki/Adriano_Avelar,Q58995145,PP,GO
Camara dos Deputados,Aécio Neves,https://pt.wikipedia.org/wiki/Aécio_Neves,Q2875339,PSDB,MG
Camara dos Deputados,Aelton José de Freitas,https://pt.wikipedia.org/wiki/Aelton_Freitas,Q16144755,PP,MG
Camara dos Deputados,Afonso Florence,https://pt.wikipedia.org/wiki/Afonso_Florence,Q9587090,PT,BA
Camara dos Deputados,José Affonso Ebert Hamm,https://pt.wikipedia.org/wiki/Afonso_Hamm,Q10308690,PP,RS
Camara dos Deputados,Afonso Antunes da Motta,https://pt.wikipedia.org/wiki/Afonso_Motta,Q19607416,PDT,RS
Camara dos Deputados,Airton Faleiro,https://pt.wikipedia.org/wiki/Airton_Faleiro,Q59010339,PT,PA
Camara dos Deputados,Antônio José Albuquerque,https://pt.wikipedia.org/wiki/Antônio_José_Albuquerque,Q60782633,PP,CE
Camara dos Deputados,Alceu Moreira,https://pt.wikipedia.org/wiki/Alceu_Moreira,Q9594946,MDB,RS
Camara dos Deputados,Alcides Rodrigues,https://pt.wikipedia.org/wiki/Alcides_Rodrigues,Q514040,PATRIOTA,GO
Camara dos Deputados,Alencar Santana Braga,https://pt.wikipedia.org/wiki/Alencar_Santana,Q18237253,PT,SP
Camara dos Deputados,Alê Silva,https://pt.wikipedia.org/wiki/Alê_Silva,Q59204905,REPUBLICANOS,MG
Camara dos Deputados,Alessandro Molon,https://pt.wikipedia.org/wiki/Alessandro_Molon,Q16336306,PSB,RJ
Senado,Alessandro Vieira,https://pt.wikipedia.org/wiki/Alessandro_Vieira,Q59284514,PSDB,SE
Camara dos Deputados,Alexandre Figueiredo,https://pt.wikipedia.org/wiki/Alexandre_Figueiredo,Q30933949,PSD,SE
Camara dos Deputados,Alexandre Frota,https://pt.wikipedia.org/wiki/Alexandre_Frota,Q4720839,PSDB,SP
Camara dos Deputados,Alexandre Leite,https://pt.wikipedia.org/wiki/Alexandre_Leite,Q16336345,UNIÃO,SP
Camara dos Deputados,Alexandre Padilha,https://pt.wikipedia.org/wiki/Alexandre_Padilha,Q4163528,PT,SP
Senado,Alexandre Silveira de Oliveira,https://pt.wikipedia.org/wiki/Alexandre_Silveira,Q16336362,PSD,MG
Camara dos Deputados,Alexis,https://pt.wikipedia.org/wiki/Alexis_Fonteyne,Q59284386,NOVO,SP
Camara dos Deputados,Alex Manente,https://pt.wikipedia.org/wiki/Alex_Manente,Q16336322,CIDADANIA,SP
Camara dos Deputados,Alex Santana,,,REPUBLICANOS,BA
Camara dos Deputados,Alice Portugal,https://pt.wikipedia.org/wiki/Alice_Portugal,Q8195571,PCdoB,BA
Camara dos Deputados,Aliel Machado,,,PV,PR
Camara dos Deputados,Aline Gurgel,https://pt.wikipedia.org/wiki/Aline_Gurgel,Q58966765,REPUBLICANOS,AP
Camara dos Deputados,Aline Sleutjes,https://pt.wikipedia.org/wiki/Aline_Sleutjes,Q59204915,PROS,PR
Camara dos Deputados,Altineu Cortes,https://pt.wikipedia.org/wiki/Altineu_Côrtes,Q16489061,PL,RJ
Camara dos Deputados,Aluísio Mendes,https://pt.wikipedia.org/wiki/Aluísio_Mendes,Q25175949,PSC,MA
Senado,Alvaro Dias,,,PODEMOS,PR
Camara dos Deputados,Amaro Neto,https://pt.wikipedia.org/wiki/Amaro_Neto,Q27999190,REPUBLICANOS,ES
Camara dos Deputados,André Abdon,https://pt.wikipedia.org/wiki/André_Abdon,Q25175979,PP,AP
Camara dos Deputados,André de Paula,https://pt.wikipedia.org/wiki/André_de_Paula,Q16490361,PSD,PE
Camara dos Deputados,André Ferreira,,,PL,PE
Camara dos Deputados,André Figueiredo,https://pt.wikipedia.org/wiki/André_Figueiredo,Q21290171,PDT,CE
