chamber,name,party,state
Camara dos Deputados,Abou Anni,UNIÃO,SP
Camara dos Deputados,Acácio Favacho,MDB,AP
Senado,Acir Gurgacz,PDT,RO
Camara dos Deputados,Adolfo Viana,PSDB,BA
Camara dos Deputados,Adriana Ventura,NOVO,SP
Camara dos Deputados,Adriano Do Baldy,PP,GO
Camara dos Deputados,Aécio Neves,PSDB,MG
Camara dos Deputados,Aelton Freitas,PP,MG
Camara dos Deputados,Afonso Florence,PT,BA
Camara dos Deputados,Afonso Hamm,PP,RS
Camara dos Deputados,Afonso Motta,PDT,RS
Camara dos Deputados,Airton Faleiro,PT,PA
Camara dos Deputados,Aj Albuquerque,PP,CE
Camara dos Deputados,Alceu Moreira,MDB,RS
Camara dos Deputados,Alcides Rodrigues,PATRIOTA,GO
Camara dos Deputados,Alencar Santana,PT,SP
Camara dos Deputados,Alê Silva,REPUBLICANOS,MG
Camara dos Deputados,Alessandro Molon,PSB,RJ
Senado,Alessandro Vieira,PSDB,SE
Camara dos Deputados,Alexandre Figueiredo,PSD,SE
Camara dos Deputados,Alexandre Frota,PSDB,SP
Camara dos Deputados,Alexandre Leite,UNIÃO,SP
Camara dos Deputados,Alexandre Padilha,PT,SP
Senado,Alexandre Silveira,PSD,MG
Camara dos Deputados,Alexis Fonteyne,NOVO,SP
Camara dos Deputados,Alex Manente,CIDADANIA,SP
Camara dos Deputados,Alex Santana,REPUBLICANOS,BA
Camara dos Deputados,Alice Portugal,PCdoB,BA
Camara dos Deputados,Aliel Machado,PV,PR
Camara dos Deputados,Aline Gurgel,REPUBLICANOS,AP
Camara dos Deputados,Aline Sleutjes,PROS,PR
Camara dos Deputados,Altineu Côrtes,PL,RJ
Camara dos Deputados,Aluisio Mendes,PSC,MA
Senado,Alvaro Dias,PODEMOS,PR
Camara dos Deputados,Amaro Neto,REPUBLICANOS,ES
Camara dos Deputados,André Abdon,PP,AP
Camara dos Deputados,André De Paula,PSD,PE
Camara dos Deputados,André Ferreira,PL,PE
Camara dos Deputados,André Figueiredo,PDT,CE
Camara dos Deputados,André Fufuca,PP,MA
Camara dos Deputados,André Janones,AVANTE,MG
Camara dos Deputados,Angela Amin,PP,SC
Senado,Angelo Coronel,PSD,BA
Camara dos Deputados,Antônia Lúcia,REPUBLICANOS,AC
Camara dos Deputados,Antonio Brito,PSD,BA
Camara dos Deputados,Arlindo Chinaglia,PT,SP
Camara dos Deputados,Arnaldo Jardim,CIDADANIA,SP
Camara dos Deputados,Aroldo Martins,REPUBLICANOS,PR
Camara dos Deputados,Arthur Lira,PP,AL
Camara dos Deputados,Arthur Oliveira Maia,UNIÃO,BA
Camara dos Deputados,Átila Lins,PSD,AM
Camara dos Deputados,Átila Lira,PP,PI
Camara dos Deputados,Augusto Coutinho,REPUBLICANOS,PE
Camara dos Deputados,Áurea Carolina,PSOL,MG
Camara dos Deputados,Aureo Ribeiro,SOLIDARIEDADE,RJ
Camara dos Deputados,Bacelar,PV,BA
Camara dos Deputados,Baleia Rossi,MDB,SP
Camara dos Deputados,Benedita Da Silva,PT,RJ
Camara dos Deputados,Benes Leocádio,UNIÃO,RN
Camara dos Deputados,Beto Faro,PT,PA
Camara dos Deputados,Beto Pereira,PSDB,MS
Camara dos Deputados,Beto Rosado,PP,RN
Camara dos Deputados,Bia Kicis,PL,DF
Camara dos Deputados,Bibo Nunes,PL,RS
Camara dos Deputados,Bilac Pinto,UNIÃO,MG
Camara dos Deputados,Bira Do Pindaré,PSB,MA
Camara dos Deputados,Bohn Gass,PT,RS
Camara dos Deputados,Bosco Costa,PL,SE
Camara dos Deputados,Bosco Saraiva,SOLIDARIEDADE,AM
Camara dos Deputados,Bozzella,UNIÃO,SP
Camara dos Deputados,Bruna Furlan,PSDB,SP
Camara dos Deputados,Cacá Leão,PP,BA
Camara dos Deputados,Camilo Capiberibe,PSB,AP
Camara dos Deputados,Capitão Alberto Neto,PL,AM
Camara dos Deputados,Capitão Augusto,PL,SP
Camara dos Deputados,Capitão Derrite,PL,SP
Camara dos Deputados,Capitão Fábio Abreu,PSD,PI
Camara dos Deputados,Capitão Wagner,UNIÃO,CE
Camara dos Deputados,Carla Dickson,UNIÃO,RN
Camara dos Deputados,Carla Zambelli,PL,SP
Camara dos Deputados,Carlos Bezerra,MDB,MT
Camara dos Deputados,Carlos Chiodini,MDB,SC
Camara dos Deputados,Carlos Gomes,REPUBLICANOS,RS
Camara dos Deputados,Carlos Henrique Gaguim,UNIÃO,TO
Camara dos Deputados,Carlos Jordy,PL,RJ
Senado,Carlos Portinho,PL,RJ
Camara dos Deputados,Carlos Sampaio,PSDB,SP
Camara dos Deputados,Carlos Veras,PT,PE
Senado,Carlos Viana,PL,MG
